,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,description,,,,,,,,,,,,,
AT3G09220,97.34139431,2.175499576,0.201484877,10.79733433,3.54E-27,6.78E-23,putative laccase,  a member of laccase family of genes (17 members in Arabidopsis).,,,,,,,,,,,,
AT3G01420,391.7993811,1.729502073,0.16637992,10.39489663,2.62E-25,2.50E-21,Encodes an alpha-dioxygenase involved in protection against oxidative stress and cell death. Induced in response to Salicylic acid and oxidative stress.  Independent of NPR1 in  induction by salicylic acid. The mRNA is cell-to-cell mobile.,,,,,,,,,,,,,
AT4G37390,157.6881476,-2.377707452,0.230311114,-10.32389368,5.49E-25,3.50E-21,Encodes an IAA-amido synthase that conjugates Asp and other amino acids to auxin in vitro. Lines carrying insertions in this gene are hypersensitive to auxin. May function as a negative component in auxin signaling by regulating auxin activity.,,,,,,,,,,,,,
AT2G17500,78.16449354,1.666083009,0.186394496,8.938477511,3.95E-19,1.89E-15,Auxin efflux carrier family protein;(source:Araport11),,,,,,,,,,,,,
AT1G02930,91.5241422,-2.351313435,0.267477913,-8.790682601,1.49E-18,5.68E-15,Encodes glutathione transferase belonging to the phi class of GSTs. Naming convention according to Wagner et al. (2002).,,,,,,,,,,,,,
AT1G54970,43.30239967,-4.195999938,0.507955934,-8.260558951,1.45E-16,4.62E-13,encodes a proline-rich protein that is specifically expressed in the root. The mRNA is cell-to-cell mobile.,,,,,,,,,,,,,
AT5G14650,99.01776145,1.620111486,0.20854248,7.768736064,7.93E-15,2.17E-11,Encodes a cell wall localized endo-polygalacturonase.,,,,,,,,,,,,,
AT4G11650,148.5687494,1.403520254,0.1823607,7.696396508,1.40E-14,3.12E-11,osmotin-like protein,,,,,,,,,,,,,
AT5G48010,33.35831926,2.879570225,0.374442874,7.690279142,1.47E-14,3.12E-11,Encodes an oxidosqualene cyclase involved in the  biosynthesis of thalianol, a tricyclic triterpenoid of unknown function. Overexpression of THAS leads to dwarfing in the aerial tissues of Arabidopsis plants, but increases their root length. THAS is part of a small operon-like cluster of genes (with At5g48000 (THAH) and At5g47990 (THAD)) involved in thalianol metabolism.,,,,,,,,,,,
AT4G25820,103.0556942,-1.60857357,0.210722123,-7.633624558,2.28E-14,4.36E-11,Encodes a xyloglucan endotransglycosylase with a clear preference for non-fucosylated xyloglucan polymer. The mRNA is cell-to-cell mobile.,,,,,,,,,,,,,
AT1G76680,137.1424385,1.226564023,0.162952809,7.527111874,5.19E-14,9.02E-11,Encodes a member of an alpha/beta barrel fold family of FMN-containing oxidoreductases.  One of the closely related 12-oxophytodienoic acid reductases. This enzyme is not expected to participate in jasmonic acid biosynthesis because during in vitro assays, it shows very little activity with the naturally occurring OPDA isomer.  Shows activity towards 2,4,6-trinitrotoluene.  Expressed predominately in root.  Up-regulated by senescence and jasmonic acid. Induced by salicylic acid. Independent of NPR1 for their induction by salicylic acid. Predicted to be a cytosolic protein.,,,,,,,,,,
AT2G24980,123.7381739,-1.922392316,0.260325852,-7.38456169,1.53E-13,2.44E-10,Proline-rich extensin-like family protein;(source:Araport11),,,,,,,,,,,,,
AT1G08090,433.7176067,1.272691786,0.177404484,7.173955,7.29E-13,1.03E-09,High-affinity nitrate transporter. Up-regulated by nitrate. Functions as a repressor of lateral root initiation independently of nitrate uptake.,,,,,,,,,,,,,
AT5G67400,144.4221534,-1.377070583,0.192076486,-7.169386579,7.53E-13,1.03E-09,root hair specific 19;(source:Araport11),,,,,,,,,,,,,
AT3G22600,78.81191122,1.368112331,0.19588716,6.984185836,2.87E-12,3.64E-09,Glycosylphosphatidylinositol (GPI)-anchored LTPg protein, downregulated in syncytia induced by the beet cyst nematode Heterodera schachtii and root knot nematode Meloidogyne incognita. Infection with bacteria (Pseudomonas syringae) and fungi (Botrytis cinerea) leads to the induction of the gene in leaves.,,,,,,,,,,,,
AT3G22620,93.35315222,1.545804469,0.221706231,6.972309555,3.12E-12,3.64E-09,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein;(source:Araport11),,,,,,,,,,,,,
AT5G13580,48.59630496,1.595808775,0.229044469,6.967244324,3.23E-12,3.64E-09,Belongs to a clade of five Arabidopsis thaliana ABCG half-transporters that are required for synthesis of an effective suberin barrier in roots and seed coats (ABCG2, ABCG6, and ABCG20) and for synthesis of an intact pollen wall (ABCG1 and ABCG16). Phloem-expressed and plasma membrane-localized jasmonate transporter which together with JAT4 and GLR3.3 involved in regulating long-distance translocation of JA, which is important for driving the loading, translocation of JA in the phloem pathway by a self-propagation mode, contributing to wound-induced systemic response/resistance.,,,,,,,,
AT3G12500,90.24091346,1.47800322,0.213705621,6.916070883,4.64E-12,4.93E-09,encodes a basic chitinase involved in ethylene/jasmonic acid mediated signalling pathway during systemic acquired resistance based on expression analyses.,,,,,,,,,,,,,
AT4G13390,124.8950567,-3.061266676,0.444806556,-6.882242702,5.89E-12,5.93E-09,Proline-rich extensin-like family protein;(source:Araport11),,,,,,,,,,,,,
AT3G49960,45.81056168,-2.383113612,0.347915899,-6.849682984,7.40E-12,7.08E-09,Its expression is enriched in root hair cells (compared to non-root hair cells) and this enrichment is associated with increase in the transcription-associated mark trimethylation of H3 lysine 4 (H3K4me3) and decrease in the Polycomb silencing-associated mark trimethylation of H3 lysine 27 (H3K27me3) in root hair cells relative to non-root hair cells.,,,,,,,,,,,,,
AT5G09530,191.8251444,1.337054214,0.198664404,6.730215318,1.69E-11,1.54E-08,The gene encodes a unique protein which contains 36 repeats of a unique pentapeptide (Pro-Glu-Leu|Ile|Val-Pro-Lys). It has been shown tobe involved in growth and development.,,,,,,,,,,,,,
AT1G43800,43.16900921,-2.577739798,0.385681876,-6.683590687,2.33E-11,2.00E-08,&#916;9 stearoyl-ACP desaturase which together with FAB2, AAD1, and AAD5 redundantly participates in oil storage during the maturation phase.,,,,,,,,,,,
AT5G04730,26.07388833,-3.660326176,0.548054531,-6.678762729,2.41E-11,2.00E-08,Ankyrin-repeat containing protein;(source:Araport11),,,,,,,,,,,,,
AT5G47450,56.86831567,1.413960119,0.214051676,6.605695171,3.96E-11,3.15E-08,Tonoplast intrinsic protein, transports ammonium (NH3) and methylammonium across the tonoplast membrane, gene expression shows diurnal regulation and is upregulated by ammonium (NH3).,,,,,,,,,,,
AT4G08410,82.22922712,-1.862452741,0.285401535,-6.525727832,6.77E-11,5.18E-08,Proline-rich extensin-like family protein;(source:Araport11),,,,,,,,,,,,,
AT5G06640,213.3300038,-1.440165811,0.22099928,-6.516608609,7.19E-11,5.29E-08,Proline-rich extensin-like family protein;(source:Araport11),,,,,,,,,,,,,
AT5G46900,23.84869884,2.22283002,0.346076859,6.422937447,1.34E-10,9.47E-08,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein;(source:Araport11),,,,,,,,,,,,,
AT4G33610,45.17222611,1.521664936,0.239663877,6.349162639,2.16E-10,1.46E-07,glycine-rich protein;(source:Araport11),,,,,,,,,,,,,
AT5G47990,21.39236885,2.206388768,0.349733883,6.30876467,2.81E-10,1.73E-07,Encodes an endomembrane system-expressed member of the CYP705A family of cytochrome P450 enzymes. It appears to catalyze the addition of a double bond to thalian-diol at carbon 15. Reduced levels of THAD expression lead to a build up of thalian-diol in root extracts. thad1-1 mutants also have longer roots than wild type seedlings and show altered gravitropic responses.,,,,,,,,,,,,,
AT5G06630,103.9788798,-1.719762238,0.275390317,-6.244817378,4.24E-10,2.54E-07,proline-rich extensin-like family protein;(source:Araport11),,,,,,,,,,,,,
AT3G62680,127.9994116,-1.367970154,0.220405383,-6.206609535,5.41E-10,3.14E-07,Proline-rich protein The mRNA is cell-to-cell mobile.,,,,,,,,,,,,,
AT2G48130,49.33006181,1.498322567,0.245580562,6.101144788,1.05E-09,5.92E-07,Encodes a plasma membrane-localized glycosylphosphatidylinositol-anchored lipid transfer protein expressed in root endodermis and seed coats that is involved in very long chain fatty acid (and their derivatives) transport.,,,,,,,,,,,,,
AT4G19810,65.55392194,1.271980371,0.208931053,6.088038862,1.14E-09,6.24E-07,ChiC encodes a Class V chitinase that is a part of glycoside hydrolase family 18 based on CAZy groupings. It appears to primarily act as an exochitinase in vitro where it predominantly cleaves a chitobiose (GlcNAc)2 residue from the non-reducing end of a chitin oligosaccharide. However, it shows some minor endochitinase activity in vitro, as well. A putative 24 amino-acid signal peptide may direct this protein to the secretory system and it has been detected in cell wall apoplastic fluid. RT-PCR experiments demonstrate that ChiC transcript levels are increased in response to abscisisc acid, jasmonic acid, and NaCl stress. Microarray results also suggest that transcript levels rise in response to osmotic stress, two fungal pathogens, a bacterial pathogen, and the elicitor flagellin. The mRNA is cell-to-cell mobile.,,,,,,
AT1G17170,42.54227134,1.581870507,0.261716645,6.04421056,1.50E-09,7.97E-07,Encodes glutathione transferase belonging to the tau class of GSTs. Naming convention according to Wagner et al. (2002). It is involved in the detoxification of the environmental pollutant 2,4,6-trinitrotoluene. Arabidopsis plants over-expressing At1g17170 were more resistant to TNT, removed more TNT from sterile and soil-based media, and had reduced levels of glutathione when grown in the presence of TNT.,,,,,,,,,
AT5G46890,25.68325933,2.072807941,0.346373952,5.984306645,2.17E-09,1.07E-06,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein;(source:Araport11),,,,,,,,,,,,,
AT1G64590,91.18207626,1.27775967,0.215904892,5.918159871,3.26E-09,1.52E-06,NAD(P)-binding Rossmann-fold superfamily protein;(source:Araport11),,,,,,,,,,,,,
AT4G38080,139.5154748,1.085544094,0.185389832,5.855467272,4.76E-09,2.12E-06,hydroxyproline-rich glycoprotein family protein;(source:Araport11),,,,,,,,,,,,,
AT5G38940,55.85642194,-1.476398494,0.2593717,-5.692211189,1.25E-08,5.33E-06,RmlC-like cupins superfamily protein;(source:Araport11),,,,,,,,,,,,,
AT4G17500,56.28867245,-1.421528469,0.251434112,-5.653681825,1.57E-08,6.53E-06,Encodes a member of the ERF (ethylene response factor) subfamily B-3 of ERF/AP2 transcription factor family (ATERF-1). The protein contains one AP2 domain. There are 18 members in this subfamily including ATERF-1, ATERF-2, AND ATERF-5. The mRNA is cell-to-cell mobile.,,,,,,,,,,,
AT3G15356,117.8252712,-1.040483085,0.186141953,-5.589729078,2.27E-08,9.06E-06,Legume lectin family protein;(source:Araport11),,,,,,,,,,,,,
AT4G31940,10.33429999,3.027354169,0.54978843,5.50639847,3.66E-08,1.43E-05,The gene encodes a cytochrome P450 enzyme, CYP82C. It is involved in the early Fe deficiency response.CYP82C4 hydroxylates fraxetin to generate sideretin (5-hydroxyfraxetin). Fraxetin and sideretin are catecholic coumarins secreted into the rhizosphere under conditions of low iron availability and help mobilize this nutrient from insoluble iron(III) pools in the soil.The mRNA is cell-to-cell mobile.,,,,,,,,,,,,
AT2G23170,75.20782317,-1.45769203,0.265846401,-5.483211447,4.18E-08,1.60E-05,encodes an IAA-amido synthase that conjugates Asp and other amino acids to auxin in vitro.,,,,,,,,,,,,,
AT3G45710,73.22771532,1.158737064,0.211507773,5.478460903,4.29E-08,1.61E-05,Encodes a chloride permeable transporter. Modulates chloride efflux from roots.,,,,,,,,,,,,,
AT5G04960,57.35828072,-1.48996673,0.275498761,-5.40825201,6.36E-08,2.34E-05,Encodes a protein that modulates the activity of pectin methylesterase within the cell wall.,,,,,,,,,,,,,
AT3G29250,30.96153395,1.602193603,0.297375916,5.387771904,7.13E-08,2.57E-05,NAD(P)-binding Rossmann-fold superfamily protein;(source:Araport11),,,,,,,,,,,,,
AT3G24300,71.17506525,1.124443242,0.212882591,5.281987764,1.28E-07,4.44E-05,Encodes a plasma membrane localized ammonium transporter.,,,,,,,,,,,,,
AT3G22060,118.9214525,-1.003471245,0.190334672,-5.272141101,1.35E-07,4.60E-05,contains Pfam profile: PF01657 Domain of unknown function that is usually associated with protein kinase domain Pfam:PF00069, however this protein does not have the protein kinase domain,,,,,,,,,,,,
AT2G19190,19.55218611,-3.579511877,0.67978062,-5.265686858,1.40E-07,4.68E-05,Encodes a receptor-like protein kinase that is involved in early defense signaling. Expression of this gene is strongly induced during leaf senescence.  It is a target of the transcription factor AtWRKY6.,,,,,,,,,,,,,
AT5G24530,144.583354,-1.340693009,0.255036405,-5.256869141,1.47E-07,4.83E-05,Encodes a putative 2OG-Fe(II) oxygenase that is defense-associated but required for susceptibility to downy mildew. The mRNA is cell-to-cell mobile.,,,,,,,,,,,,,
AT4G25790,15.94002684,-3.065420676,0.583833817,-5.250502085,1.52E-07,4.92E-05,CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein;(source:Araport11),,,,,,,,,,,
AT5G57625,72.08713327,-1.214235227,0.232535799,-5.221713091,1.77E-07,5.65E-05,CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein;(source:Araport11),,,,,,,,,,,
AT1G02920,94.87753792,-1.227741727,0.237331341,-5.173112505,2.30E-07,7.10E-05,Encodes glutathione transferase belonging to the phi class of GSTs. Naming convention according to Wagner et al. (2002).,,,,,,,,,,,,,
AT4G08400,56.56751576,-1.710864181,0.330660272,-5.174084474,2.29E-07,7.10E-05,Proline-rich extensin-like family protein;(source:Araport11),,,,,,,,,,,,,
AT3G54590,465.7147083,-1.021457619,0.197749452,-5.165413148,2.40E-07,7.24E-05,Encodes a hydroxyproline-rich glycoprotein. The mRNA is cell-to-cell mobile.,,,,,,,,,,,,,
AT4G14365,36.81757609,-2.046878334,0.396417229,-5.163444436,2.42E-07,7.24E-05,hypothetical protein;(source:Araport11),,,,,,,,,,,,,
