"","x"
"1","AT1G01010"
"2","AT1G01020"
"3","AT1G01030"
"4","AT1G01040"
"5","AT1G01050"
"6","AT1G01060"
"7","AT1G01070"
"8","AT1G01073"
"9","AT1G01080"
"10","AT1G01090"
"11","AT1G01100"
"12","AT1G01110"
"13","AT1G01115"
"14","AT1G01120"
"15","AT1G01130"
"16","AT1G01140"
"17","AT1G01150"
"18","AT1G01160"
"19","AT1G01170"
"20","AT1G01180"
"21","AT1G01190"
"22","AT1G01200"
"23","AT1G01210"
"24","AT1G01220"
"25","AT1G01225"
"26","AT1G01230"
"27","AT1G01240"
"28","AT1G01250"
"29","AT1G01260"
"30","AT1G01280"
"31","AT1G01290"
"32","AT1G01300"
"33","AT1G01305"
"34","AT1G01310"
"35","AT1G01320"
"36","AT1G01340"
"37","AT1G01350"
"38","AT1G01355"
"39","AT1G01360"
"40","AT1G01370"
"41","AT1G01380"
"42","AT1G01390"
"43","AT1G01400"
"44","AT1G01410"
"45","AT1G01420"
"46","AT1G01430"
"47","AT1G01440"
"48","AT1G01450"
"49","AT1G01453"
"50","AT1G01460"
"51","AT1G01470"
"52","AT1G01471"
"53","AT1G01480"
"54","AT1G01490"
"55","AT1G01500"
"56","AT1G01510"
"57","AT1G01520"
"58","AT1G01530"
"59","AT1G01540"
"60","AT1G01550"
"61","AT1G01560"
"62","AT1G01570"
"63","AT1G01580"
"64","AT1G01590"
"65","AT1G01600"
"66","AT1G01610"
"67","AT1G01620"
"68","AT1G01630"
"69","AT1G01640"
"70","AT1G01650"
"71","AT1G01660"
"72","AT1G01670"
"73","AT1G01680"
"74","AT1G01690"
"75","AT1G01695"
"76","AT1G01700"
"77","AT1G01710"
"78","AT1G01720"
"79","AT1G01725"
"80","AT1G01730"
"81","AT1G01740"
"82","AT1G01750"
"83","AT1G01760"
"84","AT1G01770"
"85","AT1G01780"
"86","AT1G01790"
"87","AT1G01800"
"88","AT1G01810"
"89","AT1G01820"
"90","AT1G01830"
"91","AT1G01840"
"92","AT1G01860"
"93","AT1G01880"
"94","AT1G01900"
"95","AT1G01910"
"96","AT1G01920"
"97","AT1G01930"
"98","AT1G01940"
"99","AT1G01950"
"100","AT1G01960"
"101","AT1G01970"
"102","AT1G01980"
"103","AT1G01990"
"104","AT1G02000"
"105","AT1G02010"
"106","AT1G02020"
"107","AT1G02030"
"108","AT1G02040"
