"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","description"
"AT4G37390",122.127564098791,2.16913999702064,0.177892682225707,12.1935313464355,3.36516373490977e-34,6.31102806844978e-30,Encodes an IAA-amido synthase that conjugates Asp and other amino acids to auxin in vitro. Lines carrying insertions in this gene are hypersensitive to auxin. May function as a negative component in auxin signaling by regulating auxin activity.
"AT1G08090",519.728766545368,-1.65782303526316,0.16745846333743,-9.89990593621202,4.16666753006001e-23,3.90708414293727e-19,High-affinity nitrate transporter. Up-regulated by nitrate. Functions as a repressor of lateral root initiation independently of nitrate uptake.
"AT3G44990",180.679837534895,-1.11458001567478,0.113592661518731,-9.81207765337019,9.98903433391679e-23,6.24447832994251e-19,Encodes a xyloglucan endotransglycosylase/hydrolase. Protein sequence and phylogenetic analysis indicates that this enzyme resides in Group III-A of the XTH family, with high similarity to Tropaeolum majus (nasturtium) xyloglucanase 1 (TmNXG1).Enzyme kinetic analysis indicates predominant xyloglucan endo-hydrolase activity (EC 3.2.1.151) with only limited potential to act as a xyloglucan endo-transglycosylase (EC 2.4.1.207).
"AT1G54970",33.6850020391628,2.86323412575398,0.315451985946748,9.0766083375913,1.12010811684276e-19,5.25162690581727e-16,encodes a proline-rich protein that is specifically expressed in the root. The mRNA is cell-to-cell mobile.
"AT1G77530",29.62996244606,-2.07569493965571,0.27370492211204,-7.58369606084773,3.35847401737425e-14,1.25969643443673e-10,O-methyltransferase family protein;(source:Araport11)
"AT1G64390",176.691720106402,-1.09516854097504,0.164073350385448,-6.67487156446933,2.47448776184636e-11,5.80081793570834e-08,glycosyl hydrolase 9C2;(source:Araport11)
"AT4G14690",115.09651535847,1.08129047584969,0.166456528763239,6.49593310567992,8.25203208296231e-11,1.71954010759861e-07,Encodes an early light-induced protein. ELIPs are thought not to be directly involved in the synthesis and assembly of specific photosynthetic complexes, but rather affect the biogenesis of all chlorophyll-binding complexes. A study (PMID 17553115) has shown that the chlorophyll synthesis pathway was  downregulated as a result of constitutive ELIP2 expression, leading to decreased chlorophyll availability for the assembly  of pigment-binding proteins for photosynthesis.
"AT3G53980",49.4351655326854,1.28975655416893,0.205692130361845,6.27032522780549,3.60294754709121e-10,6.14269802710442e-07,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein;(source:Araport11)
"AT2G23170",58.5552287562698,1.53144772537109,0.248680691500362,6.1582896369293,7.35347779793699e-10,1.06082402017316e-06,encodes an IAA-amido synthase that conjugates Asp and other amino acids to auxin in vitro.
"AT5G04950",44.51695762716,-1.37467193303743,0.224077165887415,-6.13481488661865,8.52584115562999e-10,1.0659575002179e-06,Encodes a nicotianamide synthase.
"AT5G48000",19.161539668505,-1.78371370354454,0.296145195361319,-6.023105326319,1.71102016095813e-09,2.00552950616305e-06,Encodes a member of the CYP708A family of cytochrome P450 enzymes. THAH appears to add a hydroxyl group to the triterpene thalianol. thah1 mutants have an elevated accumulation of thalianol. thah1-1 mutants have longer roots than wild type plants. Thalian-diol and desaturated thalian-diol are lost from the root extracts of thah1-1 mutants. Overexpression of the sequence from At5g48000.1 rescues the thah1-1 mutant phenotype (Field 2008); it is unknown whether the shorter sequences associated with other gene models would provide functional complementation.
"AT5G48010",22.7474363301063,-2.08174635711404,0.347331046131791,-5.99355105251414,2.05307671190816e-09,2.26490592088975e-06,Encodes an oxidosqualene cyclase involved in the  biosynthesis of thalianol, a tricyclic triterpenoid of unknown function. Overexpression of THAS leads to dwarfing in the aerial tissues of Arabidopsis plants, but increases their root length. THAS is part of a small operon-like cluster of genes (with At5g48000 (THAH) and At5g47990 (THAD)) involved in thalianol metabolism.
"AT5G47990",19.2406473425478,-1.93198092920719,0.325728062847382,-5.93126951457174,3.00601314118398e-09,3.13193169165358e-06,Encodes an endomembrane system-expressed member of the CYP705A family of cytochrome P450 enzymes. It appears to catalyze the addition of a double bond to thalian-diol at carbon 15. Reduced levels of THAD expression lead to a build up of thalian-diol in root extracts. thad1-1 mutants also have longer roots than wild type seedlings and show altered gravitropic responses.
"AT3G49960",38.1707985748918,1.67960396708486,0.290250228892184,5.78674467715497,7.17635285755219e-09,6.59343654778603e-06,Its expression is enriched in root hair cells (compared to non-root hair cells) and this enrichment is associated with increase in the transcription-associated mark trimethylation of H3 lysine 4 (H3K4me3) and decrease in the Polycomb silencing-associated mark trimethylation of H3 lysine 27 (H3K27me3) in root hair cells relative to non-root hair cells.
"AT5G67400",124.367045628904,1.00333635199333,0.176021301765859,5.70008483023239,1.19747824507156e-08,1.02079577309418e-05,root hair specific 19;(source:Araport11)
"AT4G08410",70.1581573254519,1.2970137834915,0.229174272445724,5.65950867717349,1.51806974160422e-08,1.1862449972519e-05,Proline-rich extensin-like family protein;(source:Araport11)
"AT3G13610",107.357206537981,-1.26966391897296,0.226512524818221,-5.60527026040563,2.07930258249451e-08,1.39268716543222e-05,Encodes a Fe(II)- and 2-oxoglutarate-dependent dioxygenase family gene F6'H1. Mutations in this gene compromise iron uptake and the production of fluorescent phenolics involved in Fe uptake. The mRNA is cell-to-cell mobile.
"AT3G18280",47.6563092364805,-1.02261788103726,0.184401673910475,-5.54559977331728,2.92948227377274e-08,1.81874685915429e-05,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein;(source:Araport11)
"AT1G35140",87.4213618767435,1.10551664596727,0.199830901810477,5.53226070618329,3.16129560161019e-08,1.85271680351867e-05,EXL1 is involved in the C-starvation response. Phenotypic changes of an exl1 loss of function mutant became evident only under corresponding experimental conditions. For example, the mutant showed diminished biomass production in a short-day/low light growth regime, impaired survival during extended night, and impaired survival of anoxia stress.
"AT1G77520",25.8810785574916,-1.54261729259734,0.27956098625652,-5.51799917883341,3.42881034569754e-08,1.94860330979429e-05,O-methyltransferase family protein;(source:Araport11)
"AT3G24300",71.1863639278572,-1.17566001633305,0.214822673492264,-5.472699865526,4.43230426710392e-08,2.44480688897844e-05,Encodes a plasma membrane localized ammonium transporter.
"AT1G26390",19.9414597187016,-2.36075667641444,0.438123422225781,-5.38833706817403,7.11125893673376e-08,3.81041571712871e-05,FAD-binding Berberine family protein;(source:Araport11)
"AT5G57530",21.8303441358702,2.12528828107654,0.407849028876179,5.21096810487139,1.8785774989754e-07,8.38829581328204e-05,xyloglucan endotransglucosylase/hydrolase 12;(source:Araport11)
"AT4G08400",46.8657681005685,1.36968301242989,0.263792090937406,5.19228232947626,2.07731670759256e-07,9.05999942655601e-05,Proline-rich extensin-like family protein;(source:Araport11)
"AT1G19530",41.6418865736897,1.27616498489753,0.251001904069272,5.08428407995397,3.69015286592917e-07,0.00014724495073965,DNA polymerase epsilon catalytic subunit A;(source:Araport11)
"AT3G62680",109.768783080845,1.0124228082404,0.200608571589285,5.04675747511517,4.49371176809381e-07,0.000168550140997663,Proline-rich protein The mRNA is cell-to-cell mobile.
