"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","description"
"AT2G19800",452.558477529595,1.2496893369969,0.112031642595454,11.1547890225043,6.78535818352989e-29,1.22753914898239e-24,Encodes a myo-inositol oxygenase family gene.
"AT5G57560",276.084826483934,1.06895582029088,0.142889910245806,7.48097481797008,7.37733156690542e-14,4.4487768458962e-10,Encodes a cell wall-modifying enzyme, rapidly upregulated in response to environmental stimuli.
"AT5G09530",154.934855911498,1.31262834018024,0.179707259924702,7.30425883033459,2.7879924179178e-13,1.00875141665102e-09,The gene encodes a unique protein which contains 36 repeats of a unique pentapeptide (Pro-Glu-Leu|Ile|Val-Pro-Lys). It has been shown tobe involved in growth and development.
"AT5G48430",114.267791611845,-1.30181433275268,0.177825233703044,-7.32075142342632,2.46586240144475e-13,1.00875141665102e-09,Eukaryotic aspartyl protease family protein;(source:Araport11)
"AT5G61820",108.286731407773,1.1591860930004,0.162499893111308,7.1334575722237,9.78784897463781e-13,2.95119959666954e-09,stress up-regulated Nod 19 protein;(source:Araport11)
"AT3G01420",381.115622885734,1.02431699253319,0.145509977035266,7.03949662699033,1.92935553094868e-12,4.98628155862751e-09,Encodes an alpha-dioxygenase involved in protection against oxidative stress and cell death. Induced in response to Salicylic acid and oxidative stress.  Independent of NPR1 in  induction by salicylic acid. The mRNA is cell-to-cell mobile.
"AT1G49860",172.698559013334,-1.12068477273282,0.162060888629577,-6.9152081184398,4.6717700100901e-12,1.05646239065675e-08,Encodes glutathione transferase belonging to the phi class of GSTs. Naming convention according to Wagner et al. (2002). The mRNA is cell-to-cell mobile.
"AT2G41090",257.808447392844,-1.07939698421504,0.159704702240024,-6.75870509180619,1.39230460919667e-11,2.28983478954337e-08,Encodes a cytoplasmic, calcium binding calmodulin variant. CML10 interacts with phosphomannomutase (PMM)in vivo and increases its activity thereby affecting ascorbic acid biosynthesis. Its expression is induced by oxidative and other stress. The mRNA is cell-to-cell mobile.
"AT4G12500",24.5142602711688,-3.88945269061153,0.574734926395063,-6.76738529709257,1.31130533879628e-11,2.28983478954337e-08,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein;(source:Araport11)
"AT1G35140",80.5866291403974,1.38249032489235,0.211157023327128,6.54721449994382,5.86201398009726e-11,8.83747457616163e-08,EXL1 is involved in the C-starvation response. Phenotypic changes of an exl1 loss of function mutant became evident only under corresponding experimental conditions. For example, the mutant showed diminished biomass production in a short-day/low light growth regime, impaired survival during extended night, and impaired survival of anoxia stress.
"AT3G45060",76.1659043374974,-1.49691119427527,0.229094016157681,-6.5340475468594,6.40156076417482e-11,8.9085104449759e-08,member of High affinity nitrate transporter family
"AT5G42530",769.095383879672,-2.2515163215949,0.353704301657803,-6.36553276576536,1.94613021890938e-10,2.34716278601931e-07,hypothetical protein;(source:Araport11)
"AT3G09220",95.3549800507286,1.31915661464037,0.208529939215655,6.32598186908856,2.51627362542998e-10,2.84511913485336e-07,putative laccase,  a member of laccase family of genes (17 members in Arabidopsis).
"AT5G13580",38.3970579939432,1.66234296644429,0.266120062465067,6.24659017078992,4.19509879246367e-10,4.43235911281496e-07,Belongs to a clade of five Arabidopsis thaliana ABCG half-transporters that are required for synthesis of an effective suberin barrier in roots and seed coats (ABCG2, ABCG6, and ABCG20) and for synthesis of an intact pollen wall (ABCG1 and ABCG16). Phloem-expressed and plasma membrane-localized jasmonate transporter which together with JAT4 and GLR3.3 involved in regulating long-distance translocation of JA, which is important for driving the loading, translocation of JA in the phloem pathway by a self-propagation mode, contributing to wound-induced systemic response/resistance.
"AT2G43620",21.8863966902129,-3.04881786693506,0.521624956586415,-5.84484662483739,5.07035211718869e-09,4.53067033980793e-06,Chitinase family protein;(source:Araport11)
"AT4G33610",36.8956021201833,1.4775867084746,0.269913710183784,5.47429290445642,4.39262000913789e-08,2.75086426069475e-05,glycine-rich protein;(source:Araport11)
"AT1G29395",27.9849761778279,1.65759446924603,0.30769073081626,5.38720963367556,7.15599521342222e-08,4.04559716893817e-05,Integral membrane protein in the inner  envelope of chloroplasts. Provide  freezing tolerance. Expression is induced by short-term cold-treatment, water deprivation, and abscisic acid treatment.  involved in response to salt tolerance
"AT4G11890",14.8900545255728,-4.02846957189621,0.759091938026065,-5.30695870960216,1.11469415541306e-07,5.86416841475849e-05,Encodes a receptor-like cytosolic kinase ARCK1. Negatively controls abscisic acid and osmotic stress signal transduction.
"AT3G22620",84.3682520335016,1.14148349576578,0.215547264632473,5.29574568117163,1.18531710055299e-07,5.89144833258277e-05,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein;(source:Araport11)
"AT4G12490",101.088110349267,-4.48140209536936,0.852355868287751,-5.2576655621223,1.45895529873958e-07,6.9457790288152e-05,Encodes a member of the AZI family of lipid transfer proteins. Contains a PRR domain that appears to be required for localization to the chloroplast.
